Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
LTC,2019-03-22,59.1813037143,58.38027087,59.4417194591,57.8890553281
LTC,2019-03-23,60.4013424432,59.0733625125,61.4580928283,58.8437704931
LTC,2019-03-24,59.3890128427,60.4013424432,60.7377290268,58.6343745485
LTC,2019-03-25,58.6422340995,59.3888540847,60.3277128735,57.9044115147
LTC,2019-03-26,58.0120235771,58.6412035338,58.9797534778,57.149644493
LTC,2019-03-27,60.9955401836,58.434021405,61.1840325782,58.2840290194
LTC,2019-03-28,60.2739283089,60.9955401979,61.5639746491,60.0010590879
LTC,2019-03-29,61.1261941212,60.2739288848,61.4937703272,59.8263560623
LTC,2019-03-30,60.2240828597,61.1983838441,61.4226394238,59.762767442
LTC,2019-03-31,60.3701799073,60.2240828597,60.5687660173,59.7389307414
LTC,2019-04-01,60.3077261323,60.3701799073,60.7580318772,59.8744355133
LTC,2019-04-02,73.9359909366,60.307716817,73.9359909366,60.0746159726
LTC,2019-04-03,84.7936486728,73.9360741953,98.8893527858,73.934235291
LTC,2019-04-04,83.7303370062,85.6401567511,90.2062108318,80.6832964291
LTC,2019-04-05,88.8353127693,83.7303252435,90.2066990236,83.730325243
LTC,2019-04-06,91.7131722543,88.6576467055,97.9071152702,85.4446989716
LTC,2019-04-07,92.3244028143,91.713172248,95.6660058608,89.0842370476
LTC,2019-04-08,88.8768987863,92.3244028143,94.0185434836,86.1867253688
LTC,2019-04-09,86.7128551275,88.876542024,89.3211545634,83.612673117
LTC,2019-04-10,88.1315429036,86.7128432498,91.3962359039,86.2612970645
LTC,2019-04-11,78.743170577,88.4035676046,88.5876608141,75.1388182098
LTC,2019-04-12,79.0632720924,79.3490694178,80.8205749571,75.346847837
LTC,2019-04-13,77.7836734004,79.0632720924,81.2237444906,75.8820975892
LTC,2019-04-14,82.6231125701,77.9639875365,83.1539145574,76.4258724048
LTC,2019-04-15,78.7770718413,83.6001041299,84.6234886058,75.1403112324
LTC,2019-04-16,80.6235546141,78.777071842,81.7403886554,77.2897065266
LTC,2019-04-17,78.9883921003,80.6235546141,81.8015447515,78.4660144533
LTC,2019-04-18,82.2985326582,78.9979498803,83.8058964138,78.947782772
LTC,2019-04-19,82.1263124572,82.0122501743,83.5698213857,80.0075045581
LTC,2019-04-20,81.4224415068,82.1263124572,83.1468277651,80.054699863
LTC,2019-04-21,77.0778676467,81.4224413896,82.1626807852,73.7338471666
LTC,2019-04-22,77.8202458248,77.2242578057,78.1851345024,75.7870908586
LTC,2019-04-23,76.5563499212,77.8202458248,79.9012401782,74.7349328001
LTC,2019-04-24,73.3746065759,76.5560335424,76.5766061535,70.7299064193
LTC,2019-04-25,71.9995112573,73.3746065759,75.1948490562,70.4262055266
LTC,2019-04-26,71.9430151012,71.2326806018,73.6769840054,69.4863605913
LTC,2019-04-27,71.6838805728,71.9430113236,72.1691001883,71.1041996595
LTC,2019-04-28,68.1485735512,71.6838805728,71.7216328347,67.5096344033
LTC,2019-04-29,66.4388178617,68.332901027,68.6281629639,65.5882784356
LTC,2019-04-30,74.0846165335,67.1454481914,74.1616992645,67.13327443
LTC,2019-05-01,71.8777507607,74.0846205641,74.9133901086,71.3895906435
LTC,2019-05-02,72.5337577851,72.5029517401,73.7749367126,72.142303011
LTC,2019-05-03,78.3015604026,72.5337577851,79.7761556056,72.4327180361
LTC,2019-05-04,77.659083042,77.8973893993,81.3778335889,74.2203410381
LTC,2019-05-05,75.4800272422,77.4977885926,77.5358548842,75.0052917094
LTC,2019-05-06,75.2314608501,75.4781597135,76.2374507102,71.4354639335
LTC,2019-05-07,75.3147663417,74.5928835709,78.0275038569,73.1974639253
LTC,2019-05-08,74.8257487058,73.7769229924,74.9973995984,72.0853563103
LTC,2019-05-09,73.7634496514,74.8262000484,75.7256227505,72.7177293173
LTC,2019-05-10,77.8920349367,73.7654800454,79.4148191333,72.9817270869
LTC,2019-05-11,91.9678141235,77.1158004021,93.1941653699,77.1157986273
LTC,2019-05-12,85.2411693793,88.1603717994,94.3138246547,83.7282618054
LTC,2019-05-13,88.7189778718,85.2409234068,93.0025122391,84.3565880325
LTC,2019-05-14,90.1706273923,88.7189778699,94.3880035468,86.8519025707
LTC,2019-05-15,102.921952401,91.5795297358,104.4982931465,90.9227936288
LTC,2019-05-16,95.2248783354,102.9219539215,107.708619836,91.1742969497
LTC,2019-05-17,88.0546687707,95.2247045275,97.7583285923,84.8862817635
LTC,2019-05-18,87.9909264436,88.0546577953,90.9285845372,86.1655746871
LTC,2019-05-19,96.303929319,87.6875720387,96.5244634373,86.8247792647
LTC,2019-05-20,90.9132575297,96.303929319,97.3021989754,87.358940702
LTC,2019-05-21,91.5480584867,91.6130123501,93.4082016142,89.1900954966
LTC,2019-05-22,88.7879248108,91.5478754647,92.3317296293,85.9097862511
LTC,2019-05-23,89.1818703523,88.7879910266,89.8897748098,84.7819721832
LTC,2019-05-24,100.8199068482,88.9300577411,104.4028724538,88.311087157
LTC,2019-05-25,103.339698173,100.8097600453,105.3539131925,99.1492686791
LTC,2019-05-26,110.9100192552,103.3395646543,114.7754544023,99.1150200644
LTC,2019-05-27,116.5700006027,110.9390863311,122.2180707652,110.78985548
LTC,2019-05-28,114.8565767635,116.6865039996,118.5477647009,111.4521556188
LTC,2019-05-29,115.9929681448,114.8562467059,118.3310829164,108.8181683746
LTC,2019-05-30,107.4965160094,115.3199252842,120.8035422595,89.2446894675
LTC,2019-05-31,112.7738691112,107.4414933386,113.4747709493,85.597220556
LTC,2019-06-01,114.3981444204,112.7889090516,116.1820337695,110.4072843082
LTC,2019-06-02,114.6503582272,114.4015286767,116.6896586116,87.6996528238
LTC,2019-06-03,110.1253459137,114.6363710027,116.1957611608,91.266851801
LTC,2019-06-04,100.6570774868,105.8385387013,106.2672064837,81.6853970783
LTC,2019-06-05,103.9007402277,100.6568711633,105.2430866716,88.9726137557
LTC,2019-06-06,110.3805653725,103.869359415,110.9077367723,87.541499568
LTC,2019-06-07,118.4359202368,110.3759081143,121.2287392405,82.0161615526
LTC,2019-06-08,118.6509730719,118.4295134189,120.0097662617,93.3630305954
LTC,2019-06-09,113.7899602013,118.4767045829,119.326677832,88.8840291202
LTC,2019-06-10,126.3357887124,113.7924529041,129.3766236014,112.7543011429
LTC,2019-06-11,135.956821688,129.7136162336,138.954941916,92.1678926048
LTC,2019-06-12,133.9100567729,135.9634861469,143.7658734715,92.6963860506
LTC,2019-06-13,131.1253861283,135.8747897531,136.8018726922,90.7721067623
LTC,2019-06-14,131.9205253214,131.142957695,133.1321276278,84.8550910681
LTC,2019-06-15,137.6618562469,132.729881372,139.9138660958,82.8290570521
LTC,2019-06-16,136.5360570234,137.6614902033,139.0390783825,89.0426169029
LTC,2019-06-17,134.9477225683,136.5320779905,137.5828731713,130.6448059904
LTC,2019-06-18,135.1103461094,134.145846772,136.7876219458,128.5468050321
LTC,2019-06-19,136.7520829766,135.1010147997,139.6092568877,79.8435968127
LTC,2019-06-20,135.545244276,136.7640952749,137.4941623347,79.7648644418
LTC,2019-06-21,136.9882659443,135.5468729995,141.3601382254,115.4320891886
LTC,2019-06-22,139.3831894153,139.0014325874,145.932575891,137.6155082142
LTC,2019-06-23,136.9910657368,139.3792666252,142.1482227869,136.3482076595
LTC,2019-06-24,135.0023954706,137.0170120227,137.0549909928,109.5291887225
LTC,2019-06-25,137.7811680471,135.005270883,138.0628237941,129.1077085348
LTC,2019-06-26,129.8003998404,137.7907092051,137.9136749605,125.6737332004
LTC,2019-06-27,115.9063128687,129.7963206819,131.9863416588,109.8367744987
LTC,2019-06-28,119.094181506,115.8940532544,121.6808717691,112.596881334
LTC,2019-06-29,133.5384364208,119.5800633812,136.134043098,115.2177517134
LTC,2019-06-30,121.5925173832,133.5355808649,136.8516060346,119.6665852714
LTC,2019-07-01,120.5050796557,121.5873332977,126.3626157122,113.4290257938
LTC,2019-07-02,118.5845900615,120.4863232708,124.0322202785,112.2141683451
LTC,2019-07-03,120.6682691405,118.3973711651,123.0602268571,117.2348867954
LTC,2019-07-04,123.4360685823,120.6684186027,127.1962731028,118.9697704071
